trajectory_index,task_id,task_group,website,correctness_score_field,score_key_used,score_value,correct,steps,tool_calls_count,total_reward,score,reward,episode_reward,return
28,uber_user_query_436,uber_user_query,uber,total_reward,score,2.3935185185185186,True,27,"{'computer_use:type': 3, 'computer_use:left_click': 17, 'computer_use:wait': 1, 'computer_use:mouse_move': 1, 'computer_use:key': 4, 'computer_use:terminate': 1}",,2.3935185185185186,,,
29,uber_user_query_436,uber_user_query,uber,total_reward,score,2.623076923076923,True,26,"{'computer_use:type': 2, 'computer_use:left_click': 11, 'computer_use:wait': 6, 'computer_use:mouse_move': 2, 'computer_use:key': 2, 'computer_use:history_back': 2, 'computer_use:terminate': 1}",,2.623076923076923,,,
30,uber_user_query_436,uber_user_query,uber,total_reward,score,2.625,True,16,"{'computer_use:type': 3, 'computer_use:left_click': 8, 'computer_use:wait': 3, 'computer_use:scroll': 1, 'computer_use:terminate': 1}",,2.625,,,
31,uber_user_query_436,uber_user_query,uber,total_reward,score,2.9,True,18,"{'computer_use:type': 2, 'computer_use:left_click': 8, 'computer_use:wait': 4, 'computer_use:mouse_move': 1, 'computer_use:scroll': 2, 'computer_use:terminate': 1}",,2.9,,,
32,uber_user_query_807,uber_user_query,uber,total_reward,score,0.0,False,30,"{'computer_use:web_search': 18, 'computer_use:visit_url': 11, 'computer_use:history_back': 1}",,0.0,,,
33,calendar_user_query_1422,calendar_user_query,calendar,total_reward,score,2.5625,True,16,"{'computer_use:left_click': 11, 'computer_use:type': 4, 'computer_use:terminate': 1}",,2.5625,,,
34,calendar_user_query_1422,calendar_user_query,calendar,total_reward,score,2.6923076923076925,True,26,"{'computer_use:left_click': 20, 'computer_use:type': 5, 'computer_use:terminate': 1}",,2.6923076923076925,,,
35,calendar_user_query_1422,calendar_user_query,calendar,total_reward,score,2.341666666666667,True,24,"{'computer_use:left_click': 18, 'computer_use:type': 3, 'computer_use:scroll': 1, 'computer_use:key': 1, 'computer_use:terminate': 1}",,2.341666666666667,,,
36,calendar_user_query_1243,calendar_user_query,calendar,total_reward,score,1.5,False,14,"{'computer_use:scroll': 5, 'computer_use:left_click': 8, 'computer_use:terminate': 1}",,1.5,,,
37,calendar_user_query_587,calendar_user_query,calendar,total_reward,score,3.0,True,2,"{'computer_use:pause_and_memorize_fact': 1, 'computer_use:terminate': 1}",,3.0,,,
38,calendar_user_query_587,calendar_user_query,calendar,total_reward,score,2.0,True,1,{'computer_use:terminate': 1},,2.0,,,
39,calendar_user_query_587,calendar_user_query,calendar,total_reward,score,2.5,True,4,"{'computer_use:pause_and_memorize_fact': 1, 'computer_use:left_click': 2, 'computer_use:terminate': 1}",,2.5,,,
40,email_user_query_1354,email_user_query,email,total_reward,score,1.1428571428571428,False,7,"{'computer_use:left_click': 4, 'computer_use:web_search': 1, 'computer_use:visit_url': 1, 'computer_use:terminate': 1}",,1.1428571428571428,,,
41,email_user_query_1354,email_user_query,email,total_reward,score,0.0,False,6,"{'computer_use:left_click': 4, 'computer_use:type': 1, 'computer_use:terminate': 1}",,0.0,,,
42,calendar_user_query_85,calendar_user_query,calendar,total_reward,score,3.0,True,3,"{'computer_use:pause_and_memorize_fact': 1, 'computer_use:web_search': 1, 'computer_use:terminate': 1}",,3.0,,,
43,calendar_user_query_85,calendar_user_query,calendar,total_reward,score,2.3333333333333335,True,3,"{'computer_use:pause_and_memorize_fact': 1, 'computer_use:left_click': 1, 'computer_use:terminate': 1}",,2.3333333333333335,,,
44,email_user_query_905,email_user_query,email,total_reward,score,0.0,False,1,{'computer_use:terminate': 1},,0.0,,,
45,email_user_query_905,email_user_query,email,total_reward,score,3.0,True,1,{'computer_use:terminate': 1},,3.0,,,
46,email_user_query_21,email_user_query,email,total_reward,score,0.3142857142857143,False,20,"{'computer_use:left_click': 2, 'computer_use:pause_and_memorize_fact': 1, 'computer_use:web_search': 16, 'computer_use:history_back': 1}",,0.3142857142857143,,,
47,email_user_query_21,email_user_query,email,total_reward,score,0.0,False,28,"{'computer_use:web_search': 15, 'computer_use:visit_url': 10, 'computer_use:pause_and_memorize_fact': 3}",,0.0,,,
48,calendar_user_query_217,calendar_user_query,calendar,total_reward,score,2.466666666666667,True,15,"{'computer_use:left_click': 9, 'computer_use:mouse_move': 2, 'computer_use:scroll': 3, 'computer_use:terminate': 1}",,2.466666666666667,,,
49,calendar_user_query_217,calendar_user_query,calendar,total_reward,score,0.5238095238095238,False,14,"{'computer_use:left_click': 11, 'computer_use:visit_url': 2, 'computer_use:terminate': 1}",,0.5238095238095238,,,
50,calendar_user_query_217,calendar_user_query,calendar,total_reward,score,1.0714285714285714,False,8,"{'computer_use:left_click': 4, 'computer_use:visit_url': 1, 'computer_use:web_search': 2, 'computer_use:terminate': 1}",,1.0714285714285714,,,
51,calendar_user_query_217,calendar_user_query,calendar,total_reward,score,0.7,False,18,"{'computer_use:left_click': 14, 'computer_use:type': 3, 'computer_use:terminate': 1}",,0.7,,,
52,calendar_user_query_217,calendar_user_query,calendar,total_reward,score,0.2011494252873563,False,30,"{'computer_use:left_click': 24, 'computer_use:key': 2, 'computer_use:mouse_move': 2, 'computer_use:type': 2}",,0.2011494252873563,,,
53,email_user_query_1103,email_user_query,email,total_reward,score,1.5833333333333335,False,6,"{'computer_use:left_click': 2, 'computer_use:type': 3, 'computer_use:terminate': 1}",,1.5833333333333335,,,
54,email_user_query_1103,email_user_query,email,total_reward,score,4.0,True,5,"{'computer_use:left_click': 1, 'computer_use:type': 3, 'computer_use:terminate': 1}",,4.0,,,
55,calendar_user_query_1442,calendar_user_query,calendar,total_reward,score,2.0,True,4,"{'computer_use:pause_and_memorize_fact': 2, 'computer_use:left_click': 1, 'computer_use:terminate': 1}",,2.0,,,
56,calendar_user_query_1774,calendar_user_query,calendar,total_reward,score,0.8,False,10,"{'computer_use:left_click': 9, 'computer_use:terminate': 1}",,0.8,,,
57,calendar_user_query_1774,calendar_user_query,calendar,total_reward,score,2.4,True,5,"{'computer_use:left_click': 2, 'computer_use:scroll': 2, 'computer_use:terminate': 1}",,2.4,,,
58,calendar_user_query_1774,calendar_user_query,calendar,total_reward,score,3.1607142857142856,True,7,"{'computer_use:left_click': 4, 'computer_use:scroll': 2, 'computer_use:terminate': 1}",,3.1607142857142856,,,
59,email_user_query_1352,email_user_query,email,total_reward,score,4.0,True,3,"{'computer_use:type': 1, 'computer_use:pause_and_memorize_fact': 1, 'computer_use:terminate': 1}",,4.0,,,
60,email_user_query_1352,email_user_query,email,total_reward,score,4.0,True,3,"{'computer_use:type': 1, 'computer_use:pause_and_memorize_fact': 1, 'computer_use:terminate': 1}",,4.0,,,
61,email_user_query_1352,email_user_query,email,total_reward,score,0.0,False,2,"{'computer_use:type': 1, 'computer_use:terminate': 1}",,0.0,,,
62,email_user_query_1352,email_user_query,email,total_reward,score,4.0,True,2,"{'computer_use:type': 1, 'computer_use:terminate': 1}",,4.0,,,
63,uber_user_query_436,uber_user_query,uber,total_reward,score,2.5416666666666665,True,24,"{'computer_use:type': 3, 'computer_use:left_click': 9, 'computer_use:wait': 4, 'computer_use:scroll': 7, 'computer_use:terminate': 1}",,2.5416666666666665,,,
64,uber_user_query_807,uber_user_query,uber,total_reward,score,0.8666666666666667,False,30,"{'computer_use:web_search': 25, 'computer_use:history_back': 2, 'computer_use:visit_url': 3}",,0.8666666666666667,,,
65,uber_user_query_807,uber_user_query,uber,total_reward,score,0.75,False,7,"{'computer_use:type': 1, 'computer_use:web_search': 4, 'computer_use:history_back': 1, 'computer_use:terminate': 1}",,0.75,,,
66,calendar_user_query_1422,calendar_user_query,calendar,total_reward,score,2.109090909090909,True,22,"{'computer_use:left_click': 15, 'computer_use:type': 6, 'computer_use:terminate': 1}",,2.109090909090909,,,
67,calendar_user_query_1422,calendar_user_query,calendar,total_reward,score,1.207142857142857,False,28,"{'computer_use:left_click': 17, 'computer_use:type': 5, 'computer_use:mouse_move': 1, 'computer_use:scroll': 3, 'computer_use:key': 1, 'computer_use:terminate': 1}",,1.207142857142857,,,
68,calendar_user_query_1422,calendar_user_query,calendar,total_reward,score,0.0,False,29,"{'computer_use:left_click': 7, 'computer_use:scroll': 4, 'computer_use:mouse_move': 3, 'computer_use:history_back': 3, 'computer_use:visit_url': 11, 'computer_use:web_search': 1}",,0.0,,,
69,calendar_user_query_1243,calendar_user_query,calendar,total_reward,score,2.3,True,10,"{'computer_use:left_click': 9, 'computer_use:terminate': 1}",,2.3,,,
70,calendar_user_query_1243,calendar_user_query,calendar,total_reward,score,0.9649122807017543,False,19,"{'computer_use:left_click': 18, 'computer_use:terminate': 1}",,0.9649122807017543,,,
71,calendar_user_query_1243,calendar_user_query,calendar,total_reward,score,0.8819444444444444,False,16,"{'computer_use:left_click': 15, 'computer_use:terminate': 1}",,0.8819444444444444,,,
72,calendar_user_query_587,calendar_user_query,calendar,total_reward,score,1.8333333333333335,False,3,"{'computer_use:pause_and_memorize_fact': 1, 'computer_use:left_click': 1, 'computer_use:terminate': 1}",,1.8333333333333335,,,
73,calendar_user_query_587,calendar_user_query,calendar,total_reward,score,2.25,True,4,"{'computer_use:pause_and_memorize_fact': 1, 'computer_use:left_click': 2, 'computer_use:terminate': 1}",,2.25,,,
74,email_user_query_1354,email_user_query,email,total_reward,score,0.0,False,4,"{'computer_use:left_click': 3, 'computer_use:terminate': 1}",,0.0,,,
75,email_user_query_1354,email_user_query,email,total_reward,score,2.1666666666666665,True,6,"{'computer_use:left_click': 5, 'computer_use:terminate': 1}",,2.1666666666666665,,,
76,calendar_user_query_85,calendar_user_query,calendar,total_reward,score,2.0,True,1,{'computer_use:terminate': 1},,2.0,,,
77,email_user_query_1281,email_user_query,email,total_reward,score,0.5,False,6,"{'computer_use:left_click': 5, 'computer_use:terminate': 1}",,0.5,,,
78,email_user_query_1281,email_user_query,email,total_reward,score,3.5,True,4,"{'computer_use:left_click': 3, 'computer_use:terminate': 1}",,3.5,,,
79,email_user_query_905,email_user_query,email,total_reward,score,0.0,False,1,{'computer_use:terminate': 1},,0.0,,,
80,email_user_query_905,email_user_query,email,total_reward,score,3.0,True,1,{'computer_use:terminate': 1},,3.0,,,
81,email_user_query_905,email_user_query,email,total_reward,score,3.0,True,1,{'computer_use:terminate': 1},,3.0,,,
82,email_user_query_21,email_user_query,email,total_reward,score,2.2386363636363638,True,11,"{'computer_use:left_click': 2, 'computer_use:web_search': 5, 'computer_use:visit_url': 1, 'computer_use:pause_and_memorize_fact': 2, 'computer_use:terminate': 1}",,2.2386363636363638,,,
83,email_user_query_21,email_user_query,email,total_reward,score,3.0,True,7,"{'computer_use:type': 2, 'computer_use:left_click': 2, 'computer_use:pause_and_memorize_fact': 1, 'computer_use:web_search': 1, 'computer_use:terminate': 1}",,3.0,,,
84,email_user_query_21,email_user_query,email,total_reward,score,0.0,False,7,"{'computer_use:left_click': 2, 'computer_use:web_search': 4, 'computer_use:terminate': 1}",,0.0,,,
85,email_user_query_21,email_user_query,email,total_reward,score,1.9117647058823528,False,17,"{'computer_use:left_click': 9, 'computer_use:type': 4, 'computer_use:pause_and_memorize_fact': 1, 'computer_use:web_search': 2, 'computer_use:terminate': 1}",,1.9117647058823528,,,
86,calendar_user_query_217,calendar_user_query,calendar,total_reward,score,1.2142857142857144,False,7,"{'computer_use:left_click': 5, 'computer_use:scroll': 1, 'computer_use:terminate': 1}",,1.2142857142857144,,,
87,calendar_user_query_217,calendar_user_query,calendar,total_reward,score,1.125,False,17,"{'computer_use:left_click': 8, 'computer_use:web_search': 5, 'computer_use:visit_url': 3, 'computer_use:terminate': 1}",,1.125,,,
88,calendar_user_query_1685,calendar_user_query,calendar,total_reward,score,0.7019230769230769,False,13,"{'computer_use:left_click': 4, 'computer_use:visit_url': 5, 'computer_use:web_search': 2, 'computer_use:scroll': 1, 'computer_use:terminate': 1}",,0.7019230769230769,,,
89,calendar_user_query_1442,calendar_user_query,calendar,total_reward,score,0.0,False,18,"{'computer_use:left_click': 11, 'computer_use:pause_and_memorize_fact': 2, 'computer_use:mouse_move': 4, 'computer_use:terminate': 1}",,0.0,,,
90,calendar_user_query_1442,calendar_user_query,calendar,total_reward,score,1.380952380952381,False,3,"{'computer_use:left_click': 2, 'computer_use:terminate': 1}",,1.380952380952381,,,
91,calendar_user_query_1442,calendar_user_query,calendar,total_reward,score,3.571428571428571,True,7,"{'computer_use:left_click': 3, 'computer_use:scroll': 2, 'computer_use:pause_and_memorize_fact': 1, 'computer_use:terminate': 1}",,3.571428571428571,,,
92,calendar_user_query_1442,calendar_user_query,calendar,total_reward,score,1.75,False,4,"{'computer_use:pause_and_memorize_fact': 1, 'computer_use:left_click': 2, 'computer_use:terminate': 1}",,1.75,,,
93,calendar_user_query_1442,calendar_user_query,calendar,total_reward,score,2.7777777777777777,True,9,"{'computer_use:left_click': 3, 'computer_use:scroll': 3, 'computer_use:pause_and_memorize_fact': 2, 'computer_use:terminate': 1}",,2.7777777777777777,,,
94,email_user_query_1352,email_user_query,email,total_reward,score,4.0,True,2,"{'computer_use:type': 1, 'computer_use:terminate': 1}",,4.0,,,
95,email_user_query_1352,email_user_query,email,total_reward,score,4.0,True,3,"{'computer_use:left_click': 1, 'computer_use:type': 1, 'computer_use:terminate': 1}",,4.0,,,
96,uber_user_query_807,uber_user_query,uber,total_reward,score,2.3333333333333335,True,15,"{'computer_use:web_search': 13, 'computer_use:visit_url': 1, 'computer_use:terminate': 1}",,2.3333333333333335,,,
97,uber_user_query_807,uber_user_query,uber,total_reward,score,0.75,False,24,"{'computer_use:web_search': 22, 'computer_use:history_back': 1, 'computer_use:terminate': 1}",,0.75,,,
98,calendar_user_query_1422,calendar_user_query,calendar,total_reward,score,1.2045454545454546,False,11,"{'computer_use:left_click': 8, 'computer_use:type': 1, 'computer_use:scroll': 1, 'computer_use:terminate': 1}",,1.2045454545454546,,,
99,calendar_user_query_1422,calendar_user_query,calendar,total_reward,score,0.0,False,15,"{'computer_use:left_click': 9, 'computer_use:type': 5, 'computer_use:terminate': 1}",,0.0,,,
100,calendar_user_query_1422,calendar_user_query,calendar,total_reward,score,2.217391304347826,True,24,"{'computer_use:left_click': 18, 'computer_use:type': 5, 'computer_use:terminate': 1}",,2.217391304347826,,,
101,calendar_user_query_1243,calendar_user_query,calendar,total_reward,score,3.2857142857142856,True,14,"{'computer_use:left_click': 10, 'computer_use:scroll': 3, 'computer_use:terminate': 1}",,3.2857142857142856,,,
102,calendar_user_query_1243,calendar_user_query,calendar,total_reward,score,2.2222222222222223,True,9,"{'computer_use:scroll': 6, 'computer_use:left_click': 2, 'computer_use:terminate': 1}",,2.2222222222222223,,,
103,calendar_user_query_587,calendar_user_query,calendar,total_reward,score,2.0,True,3,"{'computer_use:left_click': 2, 'computer_use:terminate': 1}",,2.0,,,
104,calendar_user_query_85,calendar_user_query,calendar,total_reward,score,0.0,False,5,"{'computer_use:left_click': 2, 'computer_use:scroll': 2, 'computer_use:terminate': 1}",,0.0,,,
105,calendar_user_query_85,calendar_user_query,calendar,total_reward,score,4.0,True,4,"{'computer_use:type': 1, 'computer_use:left_click': 1, 'computer_use:pause_and_memorize_fact': 1, 'computer_use:terminate': 1}",,4.0,,,
106,calendar_user_query_85,calendar_user_query,calendar,total_reward,score,2.0,True,1,{'computer_use:terminate': 1},,2.0,,,
107,calendar_user_query_85,calendar_user_query,calendar,total_reward,score,1.0,False,1,{'computer_use:terminate': 1},,1.0,,,
108,email_user_query_1281,email_user_query,email,total_reward,score,3.5,True,4,"{'computer_use:left_click': 3, 'computer_use:terminate': 1}",,3.5,,,
109,email_user_query_905,email_user_query,email,total_reward,score,0.0,False,1,{'computer_use:terminate': 1},,0.0,,,
110,email_user_query_905,email_user_query,email,total_reward,score,3.5,True,4,"{'computer_use:type': 1, 'computer_use:left_click': 2, 'computer_use:terminate': 1}",,3.5,,,
111,email_user_query_21,email_user_query,email,total_reward,score,0.4764705882352941,False,17,"{'computer_use:left_click': 11, 'computer_use:web_search': 2, 'computer_use:visit_url': 1, 'computer_use:key': 1, 'computer_use:type': 1, 'computer_use:terminate': 1}",,0.4764705882352941,,,
112,calendar_user_query_217,calendar_user_query,calendar,total_reward,score,0.0,False,9,"{'computer_use:left_click': 7, 'computer_use:type': 1, 'computer_use:terminate': 1}",,0.0,,,
113,calendar_user_query_217,calendar_user_query,calendar,total_reward,score,2.8,True,5,"{'computer_use:left_click': 2, 'computer_use:type': 1, 'computer_use:pause_and_memorize_fact': 1, 'computer_use:terminate': 1}",,2.8,,,
114,email_user_query_1103,email_user_query,email,total_reward,score,3.6,True,5,"{'computer_use:left_click': 1, 'computer_use:type': 3, 'computer_use:terminate': 1}",,3.6,,,
115,email_user_query_1103,email_user_query,email,total_reward,score,2.8333333333333335,True,6,"{'computer_use:left_click': 2, 'computer_use:type': 3, 'computer_use:terminate': 1}",,2.8333333333333335,,,
116,email_user_query_1103,email_user_query,email,total_reward,score,1.7142857142857144,False,7,"{'computer_use:left_click': 3, 'computer_use:type': 3, 'computer_use:terminate': 1}",,1.7142857142857144,,,
117,email_user_query_1103,email_user_query,email,total_reward,score,2.6666666666666665,True,6,"{'computer_use:left_click': 2, 'computer_use:type': 3, 'computer_use:terminate': 1}",,2.6666666666666665,,,
118,calendar_user_query_1685,calendar_user_query,calendar,total_reward,score,1.263157894736842,False,19,"{'computer_use:left_click': 16, 'computer_use:scroll': 2, 'computer_use:terminate': 1}",,1.263157894736842,,,
119,calendar_user_query_1685,calendar_user_query,calendar,total_reward,score,0.0,False,16,"{'computer_use:left_click': 10, 'computer_use:key': 1, 'computer_use:type': 1, 'computer_use:web_search': 1, 'computer_use:pause_and_memorize_fact': 1, 'computer_use:visit_url': 1, 'computer_use:terminate': 1}",,0.0,,,
120,calendar_user_query_1685,calendar_user_query,calendar,total_reward,score,0.06666666666666667,False,30,"{'computer_use:left_click': 5, 'computer_use:history_back': 2, 'computer_use:visit_url': 19, 'computer_use:web_search': 4}",,0.06666666666666667,,,
121,calendar_user_query_1685,calendar_user_query,calendar,total_reward,score,0.0,False,3,"{'computer_use:left_click': 1, 'computer_use:scroll': 2}",,0.0,,,
122,calendar_user_query_1442,calendar_user_query,calendar,total_reward,score,4.0,True,3,"{'computer_use:left_click': 1, 'computer_use:scroll': 1, 'computer_use:terminate': 1}",,4.0,,,
123,calendar_user_query_1442,calendar_user_query,calendar,total_reward,score,2.857142857142857,True,7,"{'computer_use:left_click': 6, 'computer_use:terminate': 1}",,2.857142857142857,,,
124,calendar_user_query_1774,calendar_user_query,calendar,total_reward,score,0.39285714285714285,False,6,"{'computer_use:left_click': 3, 'computer_use:scroll': 2, 'computer_use:web_search': 1}",,0.39285714285714285,,,
125,email_user_query_1352,email_user_query,email,total_reward,score,4.0,True,2,"{'computer_use:type': 1, 'computer_use:terminate': 1}",,4.0,,,
126,email_user_query_1352,email_user_query,email,total_reward,score,4.0,True,3,"{'computer_use:left_click': 1, 'computer_use:type': 1, 'computer_use:terminate': 1}",,4.0,,,
127,email_user_query_1352,email_user_query,email,total_reward,score,4.0,True,3,"{'computer_use:type': 1, 'computer_use:pause_and_memorize_fact': 1, 'computer_use:terminate': 1}",,4.0,,,
128,uber_user_query_807,uber_user_query,uber,total_reward,score,0.6,False,30,"{'computer_use:web_search': 24, 'computer_use:visit_url': 5, 'computer_use:history_back': 1}",,0.6,,,
129,calendar_user_query_1422,calendar_user_query,calendar,total_reward,score,2.3517241379310345,True,30,"{'computer_use:left_click': 24, 'computer_use:type': 5, 'computer_use:terminate': 1}",,2.3517241379310345,,,
130,calendar_user_query_1422,calendar_user_query,calendar,total_reward,score,0.0,False,25,"{'computer_use:left_click': 16, 'computer_use:type': 3, 'computer_use:scroll': 4, 'computer_use:key': 1, 'computer_use:terminate': 1}",,0.0,,,
131,calendar_user_query_1243,calendar_user_query,calendar,total_reward,score,2.0,True,8,"{'computer_use:left_click': 6, 'computer_use:scroll': 1, 'computer_use:terminate': 1}",,2.0,,,
132,calendar_user_query_1243,calendar_user_query,calendar,total_reward,score,2.2,True,15,"{'computer_use:left_click': 12, 'computer_use:type': 1, 'computer_use:pause_and_memorize_fact': 1, 'computer_use:terminate': 1}",,2.2,,,
133,email_user_query_1354,email_user_query,email,total_reward,score,3.3333333333333335,True,3,"{'computer_use:left_click': 2, 'computer_use:terminate': 1}",,3.3333333333333335,,,
134,email_user_query_1354,email_user_query,email,total_reward,score,1.875,False,7,"{'computer_use:left_click': 6, 'computer_use:terminate': 1}",,1.875,,,
135,calendar_user_query_85,calendar_user_query,calendar,total_reward,score,2.0,True,1,{'computer_use:terminate': 1},,2.0,,,
136,calendar_user_query_85,calendar_user_query,calendar,total_reward,score,4.0,True,1,{'computer_use:terminate': 1},,4.0,,,
137,calendar_user_query_85,calendar_user_query,calendar,total_reward,score,4.0,True,3,"{'computer_use:left_click': 1, 'computer_use:pause_and_memorize_fact': 1, 'computer_use:terminate': 1}",,4.0,,,
138,calendar_user_query_85,calendar_user_query,calendar,total_reward,score,2.0,True,3,"{'computer_use:pause_and_memorize_fact': 1, 'computer_use:left_click': 1, 'computer_use:terminate': 1}",,2.0,,,
139,email_user_query_1281,email_user_query,email,total_reward,score,0.0,False,4,"{'computer_use:left_click': 3, 'computer_use:terminate': 1}",,0.0,,,
140,email_user_query_905,email_user_query,email,total_reward,score,4.0,True,4,"{'computer_use:type': 1, 'computer_use:left_click': 2, 'computer_use:terminate': 1}",,4.0,,,
141,email_user_query_905,email_user_query,email,total_reward,score,0.0,False,1,{'computer_use:terminate': 1},,0.0,,,
142,email_user_query_21,email_user_query,email,total_reward,score,3.4615384615384617,True,13,"{'computer_use:left_click': 5, 'computer_use:pause_and_memorize_fact': 3, 'computer_use:web_search': 3, 'computer_use:type': 1, 'computer_use:terminate': 1}",,3.4615384615384617,,,
143,email_user_query_21,email_user_query,email,total_reward,score,1.8,False,5,"{'computer_use:left_click': 2, 'computer_use:type': 1, 'computer_use:pause_and_memorize_fact': 1, 'computer_use:terminate': 1}",,1.8,,,
144,calendar_user_query_217,calendar_user_query,calendar,total_reward,score,0.5769230769230769,False,13,"{'computer_use:left_click': 9, 'computer_use:web_search': 2, 'computer_use:visit_url': 1, 'computer_use:terminate': 1}",,0.5769230769230769,,,
145,calendar_user_query_217,calendar_user_query,calendar,total_reward,score,1.4126984126984126,False,7,"{'computer_use:left_click': 3, 'computer_use:mouse_move': 2, 'computer_use:scroll': 1, 'computer_use:terminate': 1}",,1.4126984126984126,,,
146,email_user_query_1103,email_user_query,email,total_reward,score,0.0,False,6,"{'computer_use:left_click': 3, 'computer_use:type': 2, 'computer_use:terminate': 1}",,0.0,,,
